year_mon_day,hour,wind_dir_avg_10,wind_speed_h_avg,wind_speed_avg_10,air_pressure,humidity,full_datetime,capacity,volume,percentage,emission,emissionfactor,correct_days
20170909,7,227.11082398691624,35.666666666666664,36.66666666666666,9940.684210526317,95.6153846153846,2017-09-09-07,40201,40201,0.0466729998588562,0,0,2017-09-09-07
20170909,8,234.12952019685503,37.0,38.66666666666666,9947.052631578948,93.34615384615384,2017-09-09-08,35139,35139,0.0407969988882541,0,0,2017-09-09-08
20170909,9,235.056009888228,40.333333333333336,40.333333333333336,9953.842105263158,90.53846153846152,2017-09-09-09,84415,84415,0.0980089977383613,0,0,2017-09-09-09
20170909,10,230.3099382168561,42.333333333333336,44.0,9958.947368421052,86.57692307692308,2017-09-09-10,92081,92081,0.1069089993834495,0,0,2017-09-09-10
20170909,11,245.71368611342967,45.333333333333336,45.0,9962.368421052632,81.96153846153847,2017-09-09-11,116477,116477,0.135231003165245,0,0,2017-09-09-11
20170909,12,244.9062892440643,41.66666666666666,41.66666666666666,9966.157894736842,77.5,2017-09-09-12,51348,51348,0.0596170015633106,0,0,2017-09-09-12
20170909,13,254.44075826530968,45.86206896551724,43.793103448275865,9971.526315789471,75.8,2017-09-09-13,71280,71280,0.0827570036053657,0,0,2017-09-09-13
20170909,14,254.4519308787157,44.48275862068966,46.206896551724135,9974.421052631578,74.68,2017-09-09-14,112514,112514,0.130632996559143,0,0,2017-09-09-14
20170909,15,257.0029169931565,42.0,39.66666666666666,9977.105263157897,73.6923076923077,2017-09-09-15,246259,246259,0.2859149873256683,0,0,2017-09-09-15
20170909,16,252.5738250857934,39.0,34.666666666666664,9980.631578947368,74.57692307692308,2017-09-09-16,127516,127516,0.1480509936809539,0,0,2017-09-09-16
20170909,17,241.95749684647683,32.06896551724138,31.03448275862069,9985.526315789471,76.6,2017-09-09-17,97025,97025,0.112646996974945,0,0,2017-09-09-17
20170909,18,225.18981709438816,26.0,24.33333333333333,9990.157894736842,85.53846153846153,2017-09-09-18,43660,43660,0.0506910011172294,0,0,2017-09-09-18
20170909,19,206.5358055065862,20.0,19.0,9997.526315789471,92.0,2017-09-09-19,70868,70868,0.0822789967060089,0,0,2017-09-09-19
