year_mon_day,hour,wind_dir_avg_10,wind_speed_h_avg,wind_speed_avg_10,air_pressure,humidity,full_datetime,capacity,volume,percentage,emission,emissionfactor,correct_days
20230316,6,166.6704369446977,87.33333333333333,90.0,10122.25,85.28571428571429,2023-03-16-06,2080000,2080000,0.9469825029373168,0,0,2023-03-16-06
20230316,7,168.66555623320642,92.0,95.33333333333331,10118.75,86.14285714285714,2023-03-16-07,2109751,2109751,0.96052747964859,0,0,2023-03-16-07
20230316,8,169.33200699240507,95.33333333333331,96.0,10118.25,86.0,2023-03-16-08,2034250,2034250,0.9261534810066224,0,0,2023-03-16-08
20230316,9,171.9910357967875,98.0,98.0,10116.0,82.71428571428571,2023-03-16-09,2038000,2038000,0.9278607368469238,0,0,2023-03-16-09
20230316,10,172.0073449794975,96.66666666666669,97.33333333333331,10114.5,79.57142857142857,2023-03-16-10,2009001,2009001,0.9146580100059508,0,0,2023-03-16-10
20230316,11,172.66885117176528,96.66666666666669,95.33333333333331,10109.5,74.71428571428571,2023-03-16-11,2058250,2058250,0.9370802640914916,0,0,2023-03-16-11
20230316,12,176.6977675754533,92.0,91.33333333333331,10107.0,71.28571428571429,2023-03-16-12,2070500,2070500,0.942657470703125,0,0,2023-03-16-12
20230316,13,174.6617103003606,90.66666666666669,91.33333333333331,10099.25,67.28571428571429,2023-03-16-13,1934500,1934500,0.8807392716407776,0,0,2023-03-16-13
20230316,14,178.6928541672959,92.0,86.66666666666667,10093.5,64.71428571428571,2023-03-16-14,1850500,1850500,0.8424957394599915,0,0,2023-03-16-14
20230316,15,176.01477477206282,87.33333333333333,86.0,10087.75,62.57142857142857,2023-03-16-15,1897000,1897000,0.8636662364006042,0,0,2023-03-16-15
20230316,16,172.68521171676048,82.0,80.66666666666667,10081.5,62.0,2023-03-16-16,1772750,1772750,0.8070977330207825,0,0,2023-03-16-16
20230316,17,172.00321136108315,78.66666666666667,74.0,10079.75,61.71428571428572,2023-03-16-17,1835501,1835501,0.8356672525405884,0,0,2023-03-16-17
20230316,18,163.99755606289725,67.33333333333333,66.66666666666667,10078.5,63.0,2023-03-16-18,1808501,1808501,0.8233745098114014,0,0,2023-03-16-18
20230316,19,160.66935843963088,70.66666666666667,72.66666666666667,10075.75,65.14285714285714,2023-03-16-19,1909501,1909501,0.8693577647209167,0,0,2023-03-16-19
20230316,20,162.663386604315,72.66666666666667,74.0,10070.5,66.42857142857143,2023-03-16-20,2131250,2131250,0.9703157544136048,0,0,2023-03-16-20
20230316,21,164.6739942679286,73.33333333333333,70.0,10068.0,69.42857142857143,2023-03-16-21,2240500,2240500,1.0200575590133667,0,0,2023-03-16-21
20230316,22,167.34618541734645,71.33333333333333,72.66666666666667,10064.25,68.42857142857143,2023-03-16-22,2258999,2258999,1.028475046157837,0,0,2023-03-16-22
20230316,23,170.0,72.0,72.0,10061.0,69.0,2023-03-16-23,2249250,2249250,1.0240399837493896,0,0,2023-03-16-23
20230316,24,173.34314527375702,71.33333333333333,68.0,10061.75,70.57142857142857,2023-03-16-24,2232751,2232751,1.0165250301361084,0,0,2023-03-16-24
20230317,1,171.98696897993247,70.66666666666667,70.0,10059.0,70.0,2023-03-17-01,2141251,2141251,0.9748700261116028,0,0,2023-03-17-01
20230317,2,172.68916557320574,70.0,70.0,10056.0,70.71428571428571,2023-03-17-02,1777000,1777000,0.8090327382087708,0,0,2023-03-17-02
20230317,3,177.33114882823472,67.33333333333333,66.0,10053.75,73.0,2023-03-17-03,1433000,1433000,0.6524165272712708,0,0,2023-03-17-03
20230317,4,174.65356290140775,65.33333333333333,64.66666666666667,10053.0,72.42857142857143,2023-03-17-04,1337250,1337250,0.6088232398033142,0,0,2023-03-17-04
20230317,5,177.34205564709157,64.0,62.66666666666666,10054.0,72.42857142857143,2023-03-17-05,1118500,1118500,0.5092304944992065,0,0,2023-03-17-05
20230317,6,174.04224244165923,59.333333333333336,57.333333333333336,10053.5,74.85714285714286,2023-03-17-06,882000,882000,0.4015572369098663,0,0,2023-03-17-06
20230317,7,173.36351768349522,57.333333333333336,57.333333333333336,10050.75,75.0,2023-03-17-07,880999,880999,0.4011012613773346,0,0,2023-03-17-07
20230317,8,180.02044288381364,59.333333333333336,58.0,10056.25,72.71428571428571,2023-03-17-08,883000,883000,0.4020122587680816,0,0,2023-03-17-08
