,year_mon_day,hour,wind_dir_avg_10,wind_speed_h_avg,wind_speed_avg_10,air_pressure,humidity,full_datetime,capacity,volume,percentage,emission,emissionfactor,correct_days,date,month,week_number,max_capacity,log_volume,ratio_VC,prijs_excl_belastingen
2017-01-03 11:00:00,20170103,11,264.31208711968674,103.57142857142856,102.85714285714286,10202.25,80.57142857142857,2017-01-03-12,874998,874998,1.0159059762954712,0,0,2017-01-03-12,2017-01-03,2017-01,1,861298.2110713671,13.681978022481955,1.0159059762954712,0.0374
2017-01-03 12:00:00,20170103,12,266.44591989241974,104.28571428571428,104.28571428571428,10196.5,82.57142857142857,2017-01-03-13,879000,879000,1.020550012588501,0,0,2017-01-03-13,2017-01-03,2017-01,1,861300.2686370298,13.686541314323094,1.020550012588501,0.0351
2017-01-03 13:00:00,20170103,13,263.5758722285095,102.85714285714286,106.42857142857144,10190.25,84.85714285714286,2017-01-03-14,882750,882750,1.0249040126800537,0,0,2017-01-03-14,2017-01-03,2017-01,1,861300.1696536139,13.690798446613554,1.0249040126800537,0.035
2017-01-03 14:00:00,20170103,14,264.31208711968674,108.57142857142856,108.57142857142856,10186.75,86.57142857142857,2017-01-03-15,888000,888000,1.031000018119812,0,0,2017-01-03-15,2017-01-03,2017-01,1,861299.6938830373,13.6967281480998,1.031000018119812,0.0351
2017-01-03 15:00:00,20170103,15,267.1566599546897,107.14285714285714,107.85714285714286,10182.0,87.0,2017-01-03-16,893499,893499,1.0373849868774414,0,0,2017-01-03-16,2017-01-03,2017-01,1,861299.3356395658,13.70290161358162,1.0373849868774414,0.0366
2017-01-03 16:00:00,20170103,16,270.0217815641413,107.85714285714286,108.57142857142856,10176.25,87.85714285714286,2017-01-03-17,895251,895251,1.039417028427124,0,0,2017-01-03-17,2017-01-03,2017-01,1,861301.0711924931,13.70486052187103,1.039417028427124,0.04
2017-01-03 17:00:00,20170103,17,271.45838900620254,107.14285714285714,108.57142857142856,10171.25,87.57142857142857,2017-01-03-18,894250,894250,1.038256049156189,0,0,2017-01-03-18,2017-01-03,2017-01,1,861300.0624718483,13.70374177537616,1.038256049156189,0.0468
2017-01-03 18:00:00,20170103,18,272.1784820217157,106.42857142857144,109.28571428571428,10167.5,87.57142857142857,2017-01-03-19,895249,895249,1.039417028427124,0,0,2017-01-03-19,2017-01-03,2017-01,1,861299.1470369855,13.704858287860679,1.039417028427124,0.052
2017-01-03 19:00:00,20170103,19,272.14262604983526,108.57142857142856,110.0,10162.25,87.0,2017-01-03-20,895002,895002,1.039126992225647,0,0,2017-01-03-20,2017-01-03,2017-01,1,861301.8492408191,13.704582349206682,1.039126992225647,0.0497
2017-01-03 20:00:00,20170103,20,278.5727692220857,109.28571428571428,107.14285714285714,10158.25,87.0,2017-01-03-21,894751,894751,1.03883695602417,0,0,2017-01-03-21,2017-01-03,2017-01,1,861300.7024936668,13.70430186388702,1.03883695602417,0.0399
