,year_mon_day,hour,wind_dir_avg_10,wind_speed_h_avg,wind_speed_avg_10,air_pressure,humidity,full_datetime,capacity,volume,percentage,emission,emissionfactor,correct_days,date,month,week_number,max_capacity,log_volume,ratio_VC,prijs_excl_belastingen
2017-01-01 21:00:00,20170101,21,239.2812265977687,33.333333333333336,34.333333333333336,10187.894736842103,96.26923076923076,2017-01-01-22,537081,537081,0.62357097864151,0,0,2017-01-01-22,2017-01-01,2017-01,1,861298.9032460522,13.193906062019735,0.62357097864151,0.052
2017-01-01 22:00:00,20170101,22,240.2044827320701,31.666666666666668,31.0,10191.473684210529,96.73076923076924,2017-01-01-23,676558,676558,0.7855089902877808,0,0,2017-01-01-23,2017-01-01,2017-01,1,861298.8627312016,13.424774936389504,0.7855089902877808,0.0524
2017-01-01 23:00:00,20170101,23,241.138598479315,30.0,31.666666666666668,10193.578947368422,96.8076923076923,2017-01-01-24,773296,773296,0.8978250026702881,0,0,2017-01-01-24,2017-01-01,2017-01,1,861299.248405962,13.558418471112038,0.8978250026702881,0.0493
2017-01-02 00:00:00,20170102,0,249.9167716654012,29.33333333333333,30.666666666666668,10196.21052631579,96.1153846153846,2017-01-02-01,783992,783992,0.9102420210838318,0,0,2017-01-02-01,2017-01-02,2017-01,1,861300.6012032877,13.572155370721257,0.9102420210838318,0.0396
2017-01-02 01:00:00,20170102,1,267.9233906049067,31.0,31.33333333333333,10202.315789473683,94.8846153846154,2017-01-02-02,822015,822015,0.9543889760971068,0,0,2017-01-02-02,2017-01-02,2017-01,1,861299.7641292558,13.619515138569076,0.9543889760971068,0.0364
2017-01-02 02:00:00,20170102,2,281.14613474728515,29.33333333333333,28.666666666666668,10205.052631578948,93.46153846153848,2017-01-02-03,851133,851133,0.9881970286369324,0,0,2017-01-02-03,2017-01-02,2017-01,1,861298.8860875332,13.654324856969337,0.9881970286369324,0.0358
2017-01-02 03:00:00,20170102,3,282.6526065736821,26.666666666666668,28.33333333333333,10207.0,92.07692307692308,2017-01-02-04,848330,848330,0.9849420189857484,0,0,2017-01-02-04,2017-01-02,2017-01,1,861299.4304716275,13.651026168803709,0.9849420189857484,0.0364
2017-01-02 04:00:00,20170102,4,291.36578590972204,28.0,26.666666666666668,10209.842105263158,90.73076923076924,2017-01-02-05,847069,847069,0.9834759831428528,0,0,2017-01-02-05,2017-01-02,2017-01,1,861301.1548010122,13.649538614847412,0.9834759831428528,0.0364
2017-01-02 05:00:00,20170102,5,293.93687716101994,26.666666666666668,27.33333333333333,10211.421052631578,90.57692307692308,2017-01-02-06,839902,839902,0.975158989429474,0,0,2017-01-02-06,2017-01-02,2017-01,1,861297.5003095573,13.641041687961131,0.975158989429474,0.037
2017-01-02 06:00:00,20170102,6,297.7840823795839,30.33333333333333,33.666666666666664,10217.315789473683,88.5,2017-01-02-07,832032,832032,0.9660189747810364,0,0,2017-01-02-07,2017-01-02,2017-01,1,861299.8519916168,13.63162738247831,0.9660189747810364,0.0424
